age,salary,monthly_expenses,savings,debt,dependents,investment_horizon,risk_score,savings_rate,emergency_fund_months,debt_to_income,profile
19,69434,3208.38,212639,69389,3,31,4,0.446,66.28,0.999,Balanced
38,86617,3495.37,392025,135754,3,27,8,0.516,112.16,1.567,Aggressive
50,171341,10722.48,136704,71496,4,6,5,0.249,12.75,0.417,Conservative
29,137569,6658.57,95432,24727,1,29,7,0.419,14.33,0.18,Aggressive
39,227384,16859.72,320660,19882,1,9,6,0.11,19.02,0.087,Balanced
61,117352,5302.52,174811,48232,3,20,5,0.458,32.97,0.411,Balanced
42,99732,7122.11,61391,59556,1,11,7,0.143,8.62,0.597,Balanced
66,127648,9181.4,369610,52137,2,19,4,0.137,40.26,0.408,Balanced
44,101494,4085.3,355987,45054,4,39,7,0.517,87.14,0.444,Aggressive
59,239977,15778.92,40050,88589,3,10,3,0.211,2.54,0.369,Conservative
45,97225,4765.57,117795,93335,1,5,8,0.412,24.72,0.96,Balanced
33,102867,7326.18,249592,36959,1,39,10,0.145,34.07,0.359,Aggressive
32,188600,9391.78,289840,75254,4,23,4,0.402,30.86,0.399,Aggressive
64,98972,6263.01,213101,90633,0,6,4,0.241,34.03,0.916,Conservative
68,216674,10957.06,316493,88437,1,31,1,0.393,28.88,0.408,Balanced
61,116261,4604.81,223066,94058,4,18,8,0.525,48.44,0.809,Balanced
72,110748,4242.04,310002,106513,0,21,5,0.54,73.08,0.962,Balanced
69,184404,8974.13,40013,11672,3,15,9,0.416,4.46,0.063,Balanced
74,144481,9216.95,235510,138246,0,31,3,0.234,25.55,0.957,Conservative
20,242009,13770.1,242443,149175,1,10,5,0.317,17.61,0.616,Balanced
54,149529,9080.72,170600,8061,3,6,4,0.271,18.79,0.054,Balanced
68,230001,9684.57,343125,98162,3,24,7,0.495,35.43,0.427,Balanced
24,220278,11285.38,476821,144337,0,33,10,0.385,42.25,0.655,Aggressive
38,242209,7557.27,89415,111234,3,28,5,0.626,11.83,0.459,Aggressive
26,22251,1482.74,387434,149065,0,28,2,0.2,261.3,6.699,Balanced
56,196789,14668.01,39377,58219,0,10,6,0.106,2.68,0.296,Conservative
35,119108,5695.18,154397,72250,0,23,4,0.426,27.11,0.607,Balanced
21,178099,5284.05,66951,95303,4,15,6,0.644,12.67,0.535,Aggressive
42,117382,4337.13,24348,37877,1,37,1,0.557,5.61,0.323,Balanced
31,237623,14037.38,407385,78285,3,14,1,0.291,29.02,0.329,Conservative
67,29583,1692.75,272519,81424,2,14,4,0.313,160.99,2.752,Balanced
26,70387,4594.66,343033,147092,1,7,7,0.217,74.66,2.09,Balanced
43,43104,1758.77,330605,34821,2,36,7,0.51,187.97,0.808,Balanced
70,32224,2067.7,98476,16025,0,18,1,0.23,47.63,0.497,Conservative
19,80624,4893.82,426909,91551,3,15,5,0.272,87.23,1.136,Balanced
37,207130,9105.92,100591,15431,1,33,6,0.472,11.05,0.074,Aggressive
45,124320,6734.19,494604,41658,2,22,5,0.35,73.45,0.335,Balanced
64,247444,8887.38,234524,116508,2,17,7,0.569,26.39,0.471,Balanced
24,180371,9002.17,17052,56779,2,26,6,0.401,1.89,0.315,Balanced
61,98572,6856.16,164854,35662,1,15,5,0.165,24.04,0.362,Balanced
25,105469,5112.22,167775,82168,4,18,5,0.418,32.82,0.779,Balanced
64,97928,6624.52,391326,138882,0,8,9,0.188,59.07,1.418,Balanced
52,224546,12623.96,234401,51042,3,3,3,0.325,18.57,0.227,Conservative
31,24141,916.42,216108,78186,2,14,9,0.544,235.82,3.239,Aggressive
34,174422,9732.87,96838,126247,1,34,2,0.33,9.95,0.724,Balanced
53,226154,11840.87,76605,52215,2,33,10,0.372,6.47,0.231,Aggressive
67,90871,4310.71,353446,51846,1,37,7,0.431,81.99,0.571,Balanced
57,156149,5410.52,331384,108487,4,1,6,0.584,61.25,0.695,Conservative
21,66015,3186.27,73801,47136,2,35,8,0.421,23.16,0.714,Aggressive
19,222219,7222.48,469948,32548,2,10,9,0.61,65.07,0.146,Aggressive
23,210252,7084.14,418644,122911,3,19,6,0.596,59.1,0.585,Aggressive
71,191929,9256.64,442626,4650,1,11,2,0.421,47.82,0.024,Balanced
59,210912,9103.66,15179,57278,1,35,10,0.482,1.67,0.272,Balanced
21,79902,5719.98,99921,16225,4,2,4,0.141,17.47,0.203,Balanced
71,25577,1186.43,34673,45360,2,3,3,0.443,29.22,1.773,Conservative
46,40002,2556.2,307543,64008,3,15,3,0.233,120.31,1.6,Conservative
35,70711,3780.89,310509,57573,0,28,5,0.358,82.13,0.814,Balanced
43,59451,3652.51,38682,51932,3,2,10,0.263,10.59,0.874,Balanced
61,200175,8224.92,39609,127333,3,30,1,0.507,4.82,0.636,Conservative
51,179719,13000.39,135746,20881,3,38,9,0.132,10.44,0.116,Aggressive
27,54831,2931.4,410777,33557,3,5,4,0.358,140.13,0.612,Balanced
53,116498,7836.71,107546,61324,2,6,7,0.193,13.72,0.526,Balanced
31,148949,6836.45,222503,20841,3,5,7,0.449,32.55,0.14,Balanced
48,115119,3886.38,459465,13475,1,12,7,0.595,118.22,0.117,Balanced
65,86830,5213.72,231542,6671,1,4,5,0.279,44.41,0.077,Conservative
32,100632,2970.89,66024,31764,3,24,4,0.646,22.22,0.316,Aggressive
25,56833,2895.69,193680,137033,1,25,4,0.389,66.89,2.411,Aggressive
31,243936,9270.4,341456,55890,2,26,5,0.544,36.83,0.229,Aggressive
40,44398,2571.59,206193,110352,0,33,6,0.305,80.18,2.486,Balanced
74,81554,6039.62,381586,127808,3,21,10,0.111,63.18,1.567,Balanced
57,70755,3569.72,373216,63884,1,23,7,0.395,104.55,0.903,Balanced
38,168778,11246.58,422197,5155,1,37,5,0.2,37.54,0.031,Aggressive
33,173412,9093.74,52438,129518,2,37,9,0.371,5.77,0.747,Aggressive
62,84994,4410.57,162848,128275,2,12,9,0.377,36.92,1.509,Balanced
35,83884,6023.8,483849,65768,0,37,1,0.138,80.32,0.784,Conservative
64,104361,7300.76,327494,120423,4,21,5,0.161,44.86,1.154,Conservative
70,37482,2443.17,388837,60851,4,13,2,0.218,159.15,1.623,Conservative
41,74225,3172.75,481496,140293,4,33,4,0.487,151.76,1.89,Balanced
43,209921,11366.43,424317,44566,0,6,7,0.35,37.33,0.212,Aggressive
42,94854,3739.96,493281,133783,3,12,10,0.527,131.89,1.41,Aggressive
62,61256,3032.96,50824,143603,4,38,6,0.406,16.76,2.344,Balanced
58,128721,6611.08,152836,141552,4,30,7,0.384,23.12,1.1,Balanced
46,101110,6803.03,342070,12191,1,37,3,0.193,50.28,0.121,Balanced
32,133606,9383.77,440028,3779,1,18,5,0.157,46.89,0.028,Balanced
62,34650,1669.09,43352,71190,3,16,6,0.422,25.97,2.055,Conservative
18,197190,5911.39,441623,110678,2,7,6,0.64,74.71,0.561,Aggressive
42,48930,3359.76,118003,123760,0,1,6,0.176,35.12,2.529,Conservative
24,236779,8797.39,152630,7317,4,28,9,0.554,17.35,0.031,Aggressive
26,120400,6943.42,344301,159,0,3,6,0.308,49.59,0.001,Balanced
41,31801,963.93,366144,125373,1,39,2,0.636,379.85,3.942,Balanced
18,71360,3387.99,299996,57115,0,10,9,0.43,88.55,0.8,Aggressive
61,107908,8023.66,267665,19462,1,14,4,0.108,33.36,0.18,Balanced
25,167631,5662.88,285258,2917,0,15,7,0.595,50.37,0.017,Aggressive
41,52334,2542.7,321775,26125,1,6,6,0.417,126.55,0.499,Balanced
28,33288,1439.52,174522,47277,0,39,9,0.481,121.24,1.42,Aggressive
68,173470,12255.63,111313,14349,4,16,10,0.152,9.08,0.083,Balanced
34,227302,15686.43,174992,60715,4,18,3,0.172,11.16,0.267,Balanced
25,32191,1289.61,3131,7902,3,35,8,0.519,2.43,0.245,Aggressive
52,38051,1251.41,137917,121345,0,25,5,0.605,110.21,3.189,Balanced
52,81715,4732.16,369044,79569,2,33,6,0.305,77.99,0.974,Balanced
50,30737,1370.37,48174,102148,3,33,3,0.465,35.15,3.323,Conservative
22,85140,5105.89,392967,103001,0,19,3,0.28,76.96,1.21,Conservative
59,176323,5402.33,27344,35158,2,38,7,0.632,5.06,0.199,Balanced
56,202047,7128.38,72336,3917,4,11,6,0.577,10.15,0.019,Balanced
58,25147,1524.55,366792,79742,4,39,2,0.272,240.59,3.171,Conservative
45,70508,2742.78,477812,143692,4,3,10,0.533,174.21,2.038,Balanced
24,72224,4945.38,268006,127330,2,38,8,0.178,54.19,1.763,Aggressive
26,39643,1262.71,270741,103246,1,1,5,0.618,214.41,2.604,Balanced
25,58967,2302.24,137171,24691,0,25,7,0.531,59.58,0.419,Aggressive
29,249922,18727.66,222560,70734,3,32,3,0.101,11.88,0.283,Balanced
51,123535,6055.19,178945,26046,3,36,10,0.412,29.55,0.211,Aggressive
50,60733,3728.15,4758,142343,4,4,5,0.263,1.28,2.344,Conservative
65,235075,8824.42,91566,118540,1,23,3,0.55,10.38,0.504,Balanced
72,54808,3130.58,184843,43798,0,16,3,0.315,59.04,0.799,Conservative
40,218360,13635.82,334820,123293,0,11,1,0.251,24.55,0.565,Balanced
41,78959,3441.05,37556,74396,3,22,3,0.477,10.91,0.942,Balanced
54,152921,10269.84,279905,81298,3,39,7,0.194,27.26,0.532,Balanced
52,88178,5010.57,381817,132040,3,33,9,0.318,76.2,1.497,Balanced
61,218208,10256.1,52196,5800,0,38,1,0.436,5.09,0.027,Balanced
57,211812,11591.47,169399,58524,3,13,4,0.343,14.61,0.276,Balanced
39,132255,7353.58,277785,96585,0,21,10,0.333,37.78,0.73,Aggressive
44,106322,3907.73,420468,120279,4,12,7,0.559,107.6,1.131,Balanced
52,64565,3074.92,89584,129925,1,26,6,0.428,29.13,2.012,Balanced
18,171255,7690.59,101404,135891,3,1,4,0.461,13.19,0.794,Balanced
52,21132,1004.64,475154,56784,0,22,3,0.43,472.96,2.687,Conservative
54,189331,12126.82,93719,87175,4,27,6,0.231,7.73,0.46,Balanced
64,247684,12701.98,53180,46935,2,32,4,0.385,4.19,0.189,Balanced
31,83668,6046.23,19292,135070,4,8,5,0.133,3.19,1.614,Conservative
20,189635,8083.54,431344,41750,1,34,2,0.488,53.36,0.22,Aggressive
18,243299,11731.82,371113,136252,4,18,9,0.421,31.63,0.56,Aggressive
22,128835,8404.62,315744,78288,3,4,2,0.217,37.57,0.608,Conservative
43,162003,8779.4,124618,30513,3,1,4,0.35,14.19,0.188,Balanced
72,93169,5053.37,199442,103725,2,16,8,0.349,39.47,1.113,Balanced
31,201711,6376.37,394483,17879,0,30,7,0.621,61.87,0.089,Aggressive
56,209973,9960.24,490896,89898,4,23,4,0.431,49.29,0.428,Balanced
44,120417,5006.37,289636,61833,2,31,8,0.501,57.85,0.513,Aggressive
26,21044,1577.66,391112,14316,3,28,6,0.1,247.91,0.68,Balanced
32,197763,8563.06,30070,5378,0,37,8,0.48,3.51,0.027,Aggressive
32,44363,3092.37,196269,133649,0,16,4,0.164,63.47,3.013,Balanced
43,66694,4012.36,208845,106437,1,9,5,0.278,52.05,1.596,Balanced
59,152654,6837.68,472624,77383,3,2,4,0.462,69.12,0.507,Conservative
30,230982,12491.2,486137,87288,0,2,7,0.351,38.92,0.378,Balanced
68,217916,14751.0,120071,81976,1,32,4,0.188,8.14,0.376,Balanced
49,41301,2876.8,86626,73008,1,16,5,0.164,30.11,1.768,Conservative
56,94329,3444.71,368033,88297,3,13,9,0.562,106.84,0.936,Balanced
66,21620,967.07,324224,83868,0,27,8,0.463,335.26,3.879,Balanced
69,82224,3661.52,263388,82142,0,31,2,0.466,71.93,0.999,Conservative
49,207727,6459.01,224266,94534,4,33,7,0.627,34.72,0.455,Balanced
21,115419,6531.09,152130,37985,0,21,2,0.321,23.29,0.329,Balanced
47,188606,12890.45,190433,144609,1,19,10,0.18,14.77,0.767,Balanced
54,140050,6534.1,294903,42717,2,13,3,0.44,45.13,0.305,Balanced
40,190462,12015.29,248816,140099,3,19,1,0.243,20.71,0.736,Conservative
56,222701,12902.47,415166,133608,2,35,2,0.305,32.18,0.6,Balanced
62,75856,3518.5,319593,2525,0,35,3,0.443,90.83,0.033,Balanced
32,200324,7137.93,168501,140248,1,33,5,0.572,23.61,0.7,Balanced
60,75809,4675.7,47089,70423,2,3,6,0.26,10.07,0.929,Conservative
46,42259,2887.74,258435,89642,3,21,7,0.18,89.49,2.121,Conservative
53,40655,2463.76,337766,80383,4,23,5,0.273,137.09,1.977,Conservative
30,184077,5519.75,394002,76788,2,11,5,0.64,71.38,0.417,Aggressive
49,182701,7139.47,462499,70013,4,4,8,0.531,64.78,0.383,Balanced
24,174682,5651.17,491226,124326,0,4,1,0.612,86.92,0.712,Conservative
68,208256,11518.51,175134,17755,0,15,9,0.336,15.2,0.085,Aggressive
39,41602,2655.81,202207,19608,3,28,3,0.234,76.14,0.471,Balanced
45,105945,3627.01,279031,116562,4,36,6,0.589,76.93,1.1,Balanced
19,162182,10961.96,377009,59843,4,8,4,0.189,34.39,0.369,Balanced
59,157145,8584.44,22819,52513,3,24,2,0.344,2.66,0.334,Conservative
62,120846,7346.26,131983,71640,2,34,6,0.271,17.97,0.593,Balanced
74,100818,7429.2,283373,99446,3,15,10,0.116,38.14,0.986,Balanced
70,161267,5322.14,86147,12726,0,23,8,0.604,16.19,0.079,Aggressive
23,21537,1517.77,374746,6898,4,27,4,0.154,246.91,0.32,Balanced
45,168210,5878.33,278348,83508,1,14,8,0.581,47.35,0.496,Aggressive
45,195400,9218.44,403825,69878,1,2,7,0.434,43.81,0.358,Balanced
61,197274,13452.3,460608,48008,0,35,1,0.182,34.24,0.243,Conservative
61,191236,13521.02,424888,134434,4,7,5,0.152,31.42,0.703,Conservative
37,146545,7675.35,205457,80119,4,16,8,0.371,26.77,0.547,Aggressive
47,109743,6189.12,411700,142176,3,22,6,0.323,66.52,1.296,Balanced
28,205731,12677.85,159032,17628,2,28,9,0.261,12.54,0.086,Aggressive
72,106155,7147.92,122345,77465,3,32,7,0.192,17.12,0.73,Conservative
45,200764,6973.72,130817,92210,1,7,2,0.583,18.76,0.459,Conservative
42,140198,9294.4,432190,109093,4,22,1,0.204,46.5,0.778,Conservative
56,175917,9011.38,44949,144340,2,2,9,0.385,4.99,0.821,Balanced
50,109846,5472.55,120747,87226,3,8,5,0.402,22.06,0.794,Conservative
18,50562,2457.08,138768,95756,2,7,2,0.417,56.48,1.894,Balanced
74,48036,2522.16,480709,64734,1,38,4,0.37,190.59,1.348,Balanced
44,211824,15353.32,314178,141776,2,21,10,0.13,20.46,0.669,Aggressive
74,94233,5116.16,14049,70050,4,22,6,0.348,2.75,0.743,Conservative
69,103049,7507.53,10321,112726,2,35,9,0.126,1.37,1.094,Conservative
30,88681,3319.33,36064,48308,2,18,8,0.551,10.86,0.545,Aggressive
58,47818,2981.75,273717,96428,3,9,6,0.252,91.8,2.017,Conservative
20,181616,12058.27,7782,50420,2,2,4,0.203,0.65,0.278,Conservative
56,82532,4976.14,236827,123819,2,17,10,0.276,47.59,1.5,Balanced
23,229708,13089.67,192718,145912,1,20,5,0.316,14.72,0.635,Aggressive
25,77705,4277.96,412905,100680,2,6,4,0.339,96.52,1.296,Balanced
44,40104,2752.18,496100,24771,3,11,4,0.176,180.26,0.618,Balanced
26,144336,9645.32,372610,19480,3,5,8,0.198,38.63,0.135,Aggressive
54,147904,5142.85,206355,85555,4,10,4,0.583,40.12,0.578,Balanced
50,89603,6098.4,11271,16945,1,23,3,0.183,1.85,0.189,Conservative
68,122499,5897.69,324136,11641,0,33,2,0.422,54.96,0.095,Balanced
59,79025,3223.78,437441,15232,4,36,10,0.51,135.69,0.193,Aggressive
61,247336,17073.87,153806,23255,2,39,1,0.172,9.01,0.094,Conservative
41,52317,2561.85,220854,56173,1,34,5,0.412,86.21,1.074,Balanced
32,182488,12083.76,34596,87891,4,17,4,0.205,2.86,0.482,Conservative
71,193084,7962.66,12736,141140,3,26,10,0.505,1.6,0.731,Conservative
49,125585,3685.51,52044,118785,1,27,9,0.648,14.12,0.946,Aggressive
49,219117,11366.74,298565,108759,1,3,9,0.377,26.27,0.496,Balanced
41,172472,5822.73,287220,45832,2,19,5,0.595,49.33,0.266,Aggressive
58,68270,4351.68,131738,6822,1,8,5,0.235,30.27,0.1,Balanced
69,223141,9331.78,146224,20893,1,17,6,0.498,15.67,0.094,Balanced
66,139415,6901.1,413354,126901,0,1,4,0.406,59.9,0.91,Conservative
66,200905,6661.15,480696,78033,2,7,6,0.602,72.16,0.388,Balanced
69,214716,9083.61,15733,14251,1,36,8,0.492,1.73,0.066,Balanced
29,100206,6511.88,264529,88106,1,3,5,0.22,40.62,0.879,Conservative
56,89468,3231.09,54020,43145,0,19,8,0.567,16.72,0.482,Aggressive
19,210545,12385.97,227472,85480,0,27,8,0.294,18.37,0.406,Aggressive
20,196881,14020.95,211816,71215,3,3,3,0.145,15.11,0.362,Conservative
66,189400,11425.72,499549,39380,2,34,6,0.276,43.72,0.208,Balanced
54,187856,12462.08,99703,21205,0,5,1,0.204,8.0,0.113,Conservative
66,43723,1493.63,428732,56959,1,37,5,0.59,287.04,1.303,Balanced
73,80646,3278.95,110259,66948,0,16,7,0.512,33.63,0.83,Balanced
34,217327,15249.05,200520,106177,4,14,5,0.158,13.15,0.489,Balanced
66,20074,1243.43,458526,74371,3,30,3,0.257,368.76,3.705,Conservative
19,46498,2719.18,143341,59892,3,32,2,0.298,52.71,1.288,Conservative
19,216594,12906.69,475199,145875,2,12,2,0.285,36.82,0.673,Conservative
45,116881,5627.92,436863,78331,3,27,9,0.422,77.62,0.67,Balanced
71,171613,5355.84,138021,126685,2,26,2,0.625,25.77,0.738,Conservative
40,65929,4293.31,435895,112745,4,29,7,0.219,101.53,1.71,Balanced
54,143199,8631.23,233008,146725,1,23,9,0.277,27.0,1.025,Balanced
49,46028,2339.92,106959,103489,4,22,3,0.39,45.71,2.248,Conservative
50,49545,3488.25,270780,20674,2,20,7,0.155,77.63,0.417,Balanced
18,99569,4438.19,230235,42345,2,38,1,0.465,51.88,0.425,Balanced
36,51673,2204.18,334630,39920,2,16,6,0.488,151.82,0.773,Balanced
19,182046,12592.09,305643,18968,1,31,2,0.17,24.27,0.104,Balanced
70,209971,13794.1,90067,83521,2,3,10,0.212,6.53,0.398,Balanced
61,174169,9190.88,293696,112102,4,21,1,0.367,31.96,0.644,Conservative
43,122511,4307.32,454997,119630,1,39,5,0.578,105.63,0.976,Balanced
49,113144,4415.34,405062,54850,4,5,6,0.532,91.74,0.485,Balanced
23,84824,5025.29,189249,17191,1,20,2,0.289,37.66,0.203,Balanced
49,43525,2037.6,277496,109155,2,23,4,0.438,136.19,2.508,Balanced
72,77804,5252.16,378062,122033,1,32,3,0.19,71.98,1.568,Conservative
21,166115,12077.6,335247,106610,0,9,1,0.128,27.76,0.642,Conservative
72,61846,4087.51,425201,117415,4,3,1,0.207,104.02,1.899,Conservative
28,97261,4519.8,206797,97444,0,27,3,0.442,45.75,1.002,Balanced
73,201299,13147.8,477053,45252,0,27,2,0.216,36.28,0.225,Conservative
34,204100,9240.51,368715,94608,2,10,2,0.457,39.9,0.464,Balanced
55,188455,6939.93,24772,143165,2,16,10,0.558,3.57,0.76,Balanced
41,49483,1518.99,397479,73701,0,24,5,0.632,261.67,1.489,Balanced
22,27265,1277.24,59587,113388,1,23,5,0.438,46.65,4.159,Aggressive
69,42763,3018.2,498948,86091,2,9,7,0.153,165.31,2.013,Conservative
51,226724,9096.22,317492,26025,4,2,5,0.519,34.9,0.115,Balanced
23,35733,1380.43,30575,91434,0,6,3,0.536,22.15,2.559,Balanced
39,132196,9731.84,291336,25436,4,37,10,0.117,29.94,0.192,Aggressive
28,111038,3365.86,92585,42690,4,35,6,0.636,27.51,0.384,Aggressive
65,57420,3742.73,329058,4509,4,7,3,0.218,87.92,0.079,Conservative
33,160319,7037.38,160420,38677,0,15,8,0.473,22.8,0.241,Aggressive
50,174912,5402.13,382814,75646,3,21,6,0.629,70.86,0.432,Balanced
26,216221,15401.99,227849,122294,2,38,7,0.145,14.79,0.566,Aggressive
23,41058,1460.31,19768,122697,4,36,3,0.573,13.54,2.988,Balanced
33,54929,2991.24,388531,67050,0,23,7,0.347,129.89,1.221,Balanced
46,235243,9816.1,338967,148867,3,29,9,0.499,34.53,0.633,Balanced
20,242236,7789.02,117485,93148,0,13,8,0.614,15.08,0.385,Aggressive
37,182434,5738.42,173192,40492,2,5,2,0.623,30.18,0.222,Balanced
53,106489,3669.93,490923,135239,0,39,10,0.586,133.77,1.27,Aggressive
36,104664,3395.05,77372,82942,1,39,10,0.611,22.79,0.792,Aggressive
43,198428,12704.47,355918,94739,1,1,2,0.232,28.02,0.477,Conservative
20,97597,5018.61,472739,94784,4,20,7,0.383,94.2,0.971,Balanced
36,26041,1168.79,302783,110267,0,1,10,0.461,259.06,4.234,Balanced
37,98209,4747.61,446853,140376,0,35,4,0.42,94.12,1.429,Balanced
49,213026,15283.21,296681,59289,4,7,9,0.139,19.41,0.278,Balanced
24,212941,15099.53,78934,4808,4,35,6,0.149,5.23,0.023,Balanced
69,172131,10666.7,149250,93991,3,34,9,0.256,13.99,0.546,Balanced
58,119864,8356.27,436767,74369,0,5,3,0.163,52.27,0.62,Conservative
50,195794,8579.15,18641,31897,2,29,6,0.474,2.17,0.163,Balanced
57,168620,7863.46,469408,105037,2,27,6,0.44,59.69,0.623,Balanced
56,166150,9519.59,286804,135979,2,7,8,0.312,30.13,0.818,Balanced
35,156491,9037.28,406551,77214,4,1,7,0.307,44.99,0.493,Balanced
57,186562,9560.29,9883,68761,4,9,3,0.385,1.03,0.369,Conservative
18,227158,10796.85,105382,132086,4,1,1,0.43,9.76,0.581,Conservative
28,135158,10051.24,156136,72304,2,27,2,0.108,15.53,0.535,Balanced
45,209832,14017.09,370193,103762,3,17,10,0.198,26.41,0.495,Balanced
74,181409,8907.77,216333,58884,1,32,2,0.411,24.29,0.325,Balanced
42,21468,1341.77,432200,74398,0,30,1,0.25,322.11,3.466,Conservative
67,44309,1839.78,52056,109265,1,15,4,0.502,28.29,2.466,Balanced
40,217416,7339.48,479198,4942,0,28,6,0.595,65.29,0.023,Aggressive
48,241355,10938.15,421996,62681,4,3,4,0.456,38.58,0.26,Balanced
47,92255,4394.68,174354,101347,2,28,4,0.428,39.67,1.099,Balanced
59,101899,3049.29,444139,7370,1,5,9,0.641,145.65,0.072,Aggressive
52,48718,3240.3,157867,144744,4,2,2,0.202,48.72,2.971,Conservative
24,245409,11197.94,320240,56209,0,38,1,0.452,28.6,0.229,Aggressive
33,188913,10535.52,98736,73905,1,16,7,0.331,9.37,0.391,Aggressive
43,224620,7312.87,376068,139539,1,17,5,0.609,51.43,0.621,Balanced
65,234637,8725.53,232644,46721,1,12,5,0.554,26.66,0.199,Balanced
74,197732,13830.23,360789,85401,1,26,2,0.161,26.09,0.432,Conservative
69,126553,7221.73,245617,11551,1,7,6,0.315,34.01,0.091,Balanced
66,70281,5110.93,337931,42384,4,24,5,0.127,66.12,0.603,Conservative
19,133451,10001.18,450669,54488,0,16,5,0.101,45.06,0.408,Balanced
18,20767,959.65,468180,96953,0,18,6,0.445,487.87,4.669,Balanced
65,154967,6642.17,334322,117648,3,8,2,0.486,50.33,0.759,Conservative
29,78026,5345.4,308599,138969,2,27,5,0.178,57.73,1.781,Balanced
22,138142,10351.86,313724,47604,1,26,1,0.101,30.31,0.345,Balanced
54,62968,3653.73,344437,39819,0,31,8,0.304,94.27,0.632,Aggressive
49,191169,12542.72,196502,108868,2,18,1,0.213,15.67,0.569,Conservative
72,166404,10815.71,416366,118756,2,2,7,0.22,38.5,0.714,Conservative
26,165693,7531.26,366361,140854,4,23,6,0.455,48.65,0.85,Balanced
58,96870,5375.06,416928,30398,1,22,8,0.334,77.57,0.314,Aggressive
52,38174,2570.96,330370,53532,3,33,5,0.192,128.5,1.402,Conservative
36,144357,8763.22,198110,25688,2,18,6,0.272,22.61,0.178,Balanced
65,119189,3591.96,43382,134979,4,15,4,0.638,12.08,1.132,Conservative
33,60502,2698.33,23538,73221,1,3,10,0.465,8.72,1.21,Balanced
20,56674,2028.28,336274,139345,0,23,10,0.571,165.79,2.459,Aggressive
37,57260,2281.5,285095,44666,3,2,1,0.522,124.96,0.78,Conservative
41,193570,13679.26,200860,144550,1,4,7,0.152,14.68,0.747,Conservative
71,218681,6747.97,55852,95980,4,26,2,0.63,8.28,0.439,Conservative
73,200536,7869.21,21021,75553,4,19,1,0.529,2.67,0.377,Conservative
50,91805,3980.23,326952,120557,4,10,1,0.48,82.14,1.313,Conservative
41,215991,12406.64,446570,111925,4,22,1,0.311,35.99,0.518,Balanced
69,205541,11026.52,224876,96215,4,6,2,0.356,20.39,0.468,Conservative
28,37194,1456.91,121131,8273,3,1,1,0.53,83.14,0.222,Balanced
66,177883,6527.31,487662,49245,2,16,4,0.56,74.71,0.277,Balanced
25,92377,3696.92,299850,90106,2,7,10,0.52,81.11,0.975,Aggressive
53,150864,7874.99,332607,39708,0,24,10,0.374,42.24,0.263,Aggressive
55,63723,2650.6,126907,32552,2,35,7,0.501,47.88,0.511,Balanced
57,226307,16429.54,399272,26430,4,14,10,0.129,24.3,0.117,Balanced
37,96298,4856.03,369480,58433,2,4,3,0.395,76.09,0.607,Conservative
52,79238,2524.64,281416,49775,2,15,9,0.618,111.47,0.628,Balanced
65,125433,7851.02,159635,43436,4,23,2,0.249,20.33,0.346,Conservative
42,127092,5622.39,367940,26358,3,19,2,0.469,65.44,0.207,Balanced
52,22147,1309.29,23209,139841,4,14,7,0.291,17.73,6.314,Conservative
42,249991,10494.97,182424,73795,2,27,9,0.496,17.38,0.295,Aggressive
46,58445,3233.51,474571,99819,2,36,6,0.336,146.77,1.708,Balanced
